,State,District,Origin_of_Challenge,Date_of_Challenge_or_Removal,Type_of_Ban,Author,Title
0,Alaska,Anchorage School District,Administrator,10/1/2021,Banned in Libraries and Classrooms,"Kobabe, Maia",Gender Queer: A Memoir
1,Arkansas,Siloam Springs School District,Formal Challenge,1/1/2022,Banned in Libraries and Classrooms,"Kuklin, Susan",Beyond Magenta: Transgender Teens Speak Out
2,Florida,Brevard Public Schools,Administrator,5/1/2022,Banned Pending Investigation,"Maas, Sarah J.",A Court of Frost and Starlight (A Court of Thorns and Roses Series)
3,Florida,Brevard Public Schools,Administrator,3/1/2022,Banned Pending Investigation,"Maas, Sarah J.",A Court of Mist and Fury (A Court of Thorns and Roses Series)
4,Florida,Brevard Public Schools,Administrator,5/1/2022,Banned Pending Investigation,"Maas, Sarah J.",A ​Court of Silver Flames (A Court of Thorns and Roses Series)
5,Florida,Brevard Public Schools,Administrator,5/1/2022,Banned Pending Investigation,"Maas, Sarah J.",A Court of Thorns and Roses (A Court of Thorns and Roses Series)
6,Florida,Brevard Public Schools,Administrator,5/1/2022,Banned Pending Investigation,"Maas, Sarah J.",A Court of Wings and Ruin (A Court of Thorns and Roses Series)
7,Florida,Brevard Public Schools,Administrator,5/1/2022,Banned Pending Investigation,"Johnson, George M.",All Boys Aren't Blue
8,Florida,Brevard Public Schools,Administrator,5/1/2022,Banned Pending Investigation,"Reed, Amy",Beautiful
9,Florida,Brevard Public Schools,Administrator,5/1/2022,Banned Pending Investigation,"Niven, Jennifer",Breathless
10,Florida,Brevard Public Schools,Administrator,3/1/2022,Banned Pending Investigation,"Hopkins, Ellen",Crank (Crank Series)
11,Florida,Brevard Public Schools,Administrator,3/1/2022,Banned Pending Investigation,"Arnold, Elana K.",Damsel
12,Florida,Brevard Public Schools,Administrator,5/1/2022,Banned Pending Investigation,"Maas, Sarah J.",Empire of Storms (Throne of Glass Series)
13,Florida,Brevard Public Schools,Administrator,3/1/2022,Banned Pending Investigation,"Blume, Judy",Forever...
14,Florida,Brevard Public Schools,Administrator,11/1/2021,Banned in Libraries and Classrooms,"Kobabe, Maia",Gender Queer: A Memoir
15,Florida,Brevard Public Schools,Administrator,5/1/2022,Banned Pending Investigation,"Maas, Sarah J.",House of Earth and Blood (Crescent City Series)
16,Florida,Brevard Public Schools,Administrator,5/1/2022,Banned Pending Investigation,"Maas, Sarah J.",House of Sky and Breath (Crescent City Series)
17,Florida,Brevard Public Schools,Administrator,3/1/2022,Banned Pending Investigation,"Arnold, Elana K.",Infandous
18,Florida,Brevard Public Schools,Administrator,5/1/2022,Banned Pending Investigation,"Scheeres, Julia",Jesus Land: A Memoir
19,Florida,Brevard Public Schools,Administrator,5/1/2022,Banned Pending Investigation,"Lo, Malinda",Last Night at the Telegraph Club
20,Florida,Brevard Public Schools,Administrator,5/1/2022,Banned Pending Investigation,"Scott, Elizabeth",Living Dead Girl
21,Florida,Brevard Public Schools,Administrator,3/1/2022,Banned Pending Investigation,"Sebold, Alice",Lucky
22,Florida,Brevard Public Schools,Administrator,5/1/2022,Banned Pending Investigation,"Kaur, Rupi",Milk and Honey
23,Florida,Brevard Public Schools,Administrator,3/1/2022,Banned Pending Investigation,"Jackson, Tiffany D.",Monday's Not Coming
24,Florida,Brevard Public Schools,Administrator,5/1/2022,Banned Pending Investigation,"Rooney, Sally",Normal People
25,Florida,Brevard Public Schools,Administrator,3/1/2022,Banned Pending Investigation,"Smyth, Ciara",Not My Problem
26,Florida,Brevard Public Schools,Administrator,5/1/2022,Banned Pending Investigation,"Pérez, Ashley Hope",Out of Darkness
27,Florida,Brevard Public Schools,Administrator,5/1/2022,Banned Pending Investigation,"Hopkins, Ellen",People Kill People
28,Florida,Brevard Public Schools,Administrator,3/1/2022,Banned Pending Investigation,Sapphire,Push
29,Florida,Brevard Public Schools,Administrator,3/1/2022,Banned Pending Investigation,"Arnold, Elana K.",Red Hood
30,Florida,Brevard Public Schools,Administrator,5/1/2022,Banned Pending Investigation,"Vonnegut Jr., Kurt",Slaughterhouse-Five
31,Florida,Brevard Public Schools,Administrator,3/1/2022,Banned Pending Investigation,"McCormick, Patricia",Sold
32,Florida,Brevard Public Schools,Administrator,3/1/2022,Banned Pending Investigation,"Andrews, Jesse",The Haters
33,Florida,Brevard Public Schools,Administrator,5/1/2022,Banned Pending Investigation,"Myracle, Lauren",The Infinite Moment of Us
34,Florida,Brevard Public Schools,Administrator,5/1/2022,Banned Pending Investigation,"Hosseini, Khaled",The Kite Runner
35,Florida,Brevard Public Schools,Administrator,3/1/2022,Banned Pending Investigation,"Reed, Amy",The Nowhere Girls
36,Florida,Brevard Public Schools,Administrator,5/1/2022,Banned Pending Investigation,"Chbosky, Stephen",The Perks of Being a Wallflower
37,Florida,Brevard Public Schools,Administrator,3/1/2022,Banned Pending Investigation,"Dawson, Juno",This Book Is Gay
38,Florida,Brevard Public Schools,Administrator,3/1/2022,Banned Pending Investigation,"Tamaki, Mariko",This One Summer
39,Florida,Brevard Public Schools,Administrator,3/1/2022,Banned Pending Investigation,"Hopkins, Ellen",Tilt
40,Florida,Brevard Public Schools,Administrator,3/1/2022,Banned Pending Investigation,"Hopkins, Ellen",Triangles
41,Florida,Brevard Public Schools,Administrator,3/1/2022,Banned Pending Investigation,"Hopkins, Ellen",Tricks (Tricks Series)
42,Florida,Brevard Public Schools,Administrator,3/1/2022,Banned Pending Investigation,"Arnold, Elana K.",What Girls Are Made Of
43,Florida,Brevard Public Schools,Administrator,5/1/2022,Banned Pending Investigation,"Kepnes, Caroline",You: A Novel of Dark Obsession (You Series)
44,Florida,Broward County Public Schools,Administrator,6/1/2022,Banned in Libraries and Classrooms,"Schiffer, Miriam B.",Stella Brings the Family
45,Florida,Broward County Public Schools,Administrator,6/1/2022,Banned in Libraries and Classrooms,"Polacco, Patricia",In Our Mothers' House
46,Florida,Broward County Public Schools,Administrator,6/1/2022,Banned in Libraries and Classrooms,"Kilodavis, Cheryl",My Princess Boy
47,Florida,Broward County Public Schools,Administrator,6/1/2022,Banned in Libraries and Classrooms,"Fierstein, Harvey",The Sissy Duckling
48,Florida,Broward County Public Schools,Administrator,6/1/2022,Banned in Libraries and Classrooms,"Richardson, Justin",And Tango Makes Three
49,Florida,Clay County District Schools,Administrator,6/1/2022,Banned Pending Investigation,"Sebold, Alice",Lucky
50,Florida,Clay County District Schools,Administrator,12/1/2021,Banned in Libraries and Classrooms,"Johnson, George M.",All Boys Aren't Blue
51,Florida,Duval County Public Schools,Administrator,1/1/2022,Banned Pending Investigation,"Sorell, Traci",At the Mountain's Base
52,Florida,Duval County Public Schools,Administrator,1/1/2022,Banned Pending Investigation,"Cline-Ransome, Lesa",Before She Was Harriet
53,Florida,Duval County Public Schools,Administrator,1/1/2022,Banned Pending Investigation,"Rockliff, Mara",Chik Chak Shabbat
54,Florida,Duval County Public Schools,Administrator,1/1/2022,Banned Pending Investigation,"Garcia, Isabella",Cow on the Town: Practicing the Ow Sound
55,Florida,Duval County Public Schools,Administrator,1/1/2022,Banned Pending Investigation,"Morales, Yuyi",Dreamers
56,Florida,Duval County Public Schools,Administrator,1/1/2022,Banned Pending Investigation,"Rattigan, Jama Kim",Dumpling Soup
57,Florida,Duval County Public Schools,Administrator,1/1/2022,Banned Pending Investigation,"Noble Maillard, Kevin",Fry Bread: A Native American Family Story
58,Florida,Duval County Public Schools,Administrator,1/1/2022,Banned Pending Investigation,"Lumbard, Rabiah York",The Gift of Ramadan
59,Florida,Duval County Public Schools,Administrator,1/1/2022,Banned Pending Investigation,"Tompert, Ann",Grandfather Tang's Story
60,Florida,Duval County Public Schools,Administrator,1/1/2022,Banned Pending Investigation,"Ho, Minfong",Hush! A Thai Lullaby
61,Florida,Duval County Public Schools,Administrator,1/1/2022,Banned Pending Investigation,"Díaz, Junot",Islandborn
62,Florida,Duval County Public Schools,Administrator,1/1/2022,Banned Pending Investigation,"Morales, Yuyi",Little Night/Nochecita
63,Florida,Duval County Public Schools,Administrator,1/1/2022,Banned Pending Investigation,"Velásquez, Eric",Looking for Bongo
64,Florida,Duval County Public Schools,Administrator,1/1/2022,Banned Pending Investigation,"Kuntz, Doug",Lost and Found Cat : The True Story of Kunkush's Incredible Journey
65,Florida,Duval County Public Schools,Administrator,1/1/2022,Banned Pending Investigation,"Mora, Pat",Love to Mama: A Tribute To Mothers
66,Florida,Duval County Public Schools,Administrator,1/1/2022,Banned Pending Investigation,"Meddour, Wendy",Lubna and Pebble
67,Florida,Duval County Public Schools,Administrator,1/1/2022,Banned Pending Investigation,"Joosten, Michael",My Two Dads and Me
68,Florida,Duval County Public Schools,Administrator,1/1/2022,Banned Pending Investigation,"Joosten, Michael",My Two Moms and Me
69,Florida,Duval County Public Schools,Administrator,1/1/2022,Banned Pending Investigation,"Anderson, Airlie",Neither
70,Florida,Duval County Public Schools,Administrator,1/1/2022,Banned Pending Investigation,"Jules, Jacqueline",Never Say a Mean Word Again: A Tale from Medieval Spain
71,Florida,Duval County Public Schools,Administrator,1/1/2022,Banned Pending Investigation,"Park, Linda Sue",Nya's Long Walk: A Step at a Time
72,Florida,Duval County Public Schools,Administrator,1/1/2022,Banned Pending Investigation,"Scott, Ann Herbert",On Mother's Lap
73,Florida,Duval County Public Schools,Administrator,1/1/2022,Banned Pending Investigation,"Bunting, Eve",One Green Apple
74,Florida,Duval County Public Schools,Administrator,1/1/2022,Banned Pending Investigation,"Martin, Rafe",The Rough-Face Girl
75,Florida,Duval County Public Schools,Administrator,1/1/2022,Banned Pending Investigation,"Lauture, Denize",Running the Road to ABC
76,Florida,Duval County Public Schools,Administrator,1/1/2022,Banned Pending Investigation,"Nyong'o, Lupita",Sulwe
77,Florida,Duval County Public Schools,Administrator,1/1/2022,Banned Pending Investigation,"Mitchell, Margaree King",Uncle Jed's Barber Shop
78,Florida,Duval County Public Schools,Administrator,1/1/2022,Banned Pending Investigation,"Wells, Rosemary",Yoko (Yoko Series)
79,Florida,Duval County Public Schools,Administrator,1/1/2022,Banned Pending Investigation,"Muth, Jon J.",Zen Shorts (Zen Series)
80,Florida,Duval County Public Schools,Administrator,1/1/2022,Banned Pending Investigation,"Ewert, Marcus","10,000 Dresses"
81,Florida,Duval County Public Schools,Administrator,1/1/2022,Banned Pending Investigation,"Deedy, Carmen Agra",14 Cows for America
82,Florida,Duval County Public Schools,Administrator,1/1/2022,Banned Pending Investigation,"Dorros, Arthur",Abuela
83,Florida,Duval County Public Schools,Administrator,1/1/2022,Banned Pending Investigation,"Gonzalez, Xelena",All Around Us
84,Florida,Duval County Public Schools,Administrator,1/1/2022,Banned Pending Investigation,"Martinez-Neal, Juana",Alma and How She Got Her Name
85,Florida,Duval County Public Schools,Administrator,1/1/2022,Banned Pending Investigation,"Kahn, Hena",Amina's Voice (Amina's Voice Series)
86,Florida,Duval County Public Schools,Administrator,1/1/2022,Banned Pending Investigation,"MacGill-Callahan, Sheila",And Still the Turtle Watched
87,Florida,Duval County Public Schools,Administrator,1/1/2022,Banned Pending Investigation,"Johnston, Tony",Any Small Goodness: A Novel of the Barrio
88,Florida,Duval County Public Schools,Administrator,1/1/2022,Banned Pending Investigation,"Dooley, Sarah",Ashes to Asheville
89,Florida,Duval County Public Schools,Administrator,1/1/2022,Banned Pending Investigation,"Moss, Marissa",Barbed Wire Baseball: How One Man Brought Hope to the Japanese Internment Camps of WWII
90,Florida,Duval County Public Schools,Administrator,1/1/2022,Banned Pending Investigation,"Berenstain, Jan",The Berenstain Bears and the Big Question (The Berenstain Bears Series)
91,Florida,Duval County Public Schools,Administrator,1/1/2022,Banned Pending Investigation,"Peck, Richard",The Best Man
92,Florida,Duval County Public Schools,Administrator,1/1/2022,Banned Pending Investigation,"Perkins, Mitali",Between Us and Abuela: A Family Story from the Border
93,Florida,Duval County Public Schools,Administrator,1/1/2022,Banned Pending Investigation,"Khan, Rukhsana",Big Red Lollipop
94,Florida,Duval County Public Schools,Administrator,1/1/2022,Banned Pending Investigation,"Schlissel, Lillian",Black Frontiers: A History of African American Heroes in the Old West
95,Florida,Duval County Public Schools,Administrator,1/1/2022,Banned Pending Investigation,"Snyder, Dianne",The Boy of the Three-Year Nap
96,Florida,Duval County Public Schools,Administrator,1/1/2022,Banned Pending Investigation,"Uchida,Yoshiko",The Bracelet
97,Florida,Duval County Public Schools,Administrator,1/1/2022,Banned Pending Investigation,Chief Seattle,"Brother Eagle, Sister Sky"
98,Florida,Duval County Public Schools,Administrator,1/1/2022,Banned Pending Investigation,"Hopkinson, Deborah",Carter Reads the Newspaper
99,Florida,Duval County Public Schools,Administrator,1/1/2022,Banned Pending Investigation,"Daemicke, Songju Ma",A Case of Sense
100,Florida,Duval County Public Schools,Administrator,1/1/2022,Banned Pending Investigation,"Cavell-Clarke, Steffi",Celebrating Different Beliefs
101,Florida,Duval County Public Schools,Administrator,1/1/2022,Banned Pending Investigation,"Chambers, Veronica","Celia Cruz, Queen of Salsa"
102,Florida,Duval County Public Schools,Administrator,1/1/2022,Banned Pending Investigation,"Slade, Suzanne",Climbing Lincoln's Steps: The African American Journey
103,Florida,Duval County Public Schools,Administrator,1/1/2022,Banned Pending Investigation,"Joseph, Lynn",The Color of My Words
104,Florida,Duval County Public Schools,Administrator,1/1/2022,Banned Pending Investigation,Yin,Coolies
105,Florida,Duval County Public Schools,Administrator,1/1/2022,Banned Pending Investigation,"Bruchac, Joseph",Crazy Horse's Vision
106,Florida,Duval County Public Schools,Administrator,1/1/2022,Banned Pending Investigation,"Uhlberg, Myron","Dad, Jackie, and Me"
107,Florida,Duval County Public Schools,Administrator,1/1/2022,Banned Pending Investigation,"Newman, Lesléa","Daddy, Papa, and Me"
108,Florida,Duval County Public Schools,Administrator,1/1/2022,Banned Pending Investigation,"Larson, Kirby",Dash (Dogs of World War II Series)
109,Florida,Duval County Public Schools,Administrator,1/1/2022,Banned Pending Investigation,"Heide, Florence Parry",The Day of Ahmed's Secret
110,Florida,Duval County Public Schools,Administrator,1/1/2022,Banned Pending Investigation,"Johnston, Tony",Day of the Dead
111,Florida,Duval County Public Schools,Administrator,1/1/2022,Banned Pending Investigation,"Bunting, Eve",A Day's Work
112,Florida,Duval County Public Schools,Administrator,1/1/2022,Banned Pending Investigation,"Pak, Soyung",Dear Juno
113,Florida,Duval County Public Schools,Administrator,1/1/2022,Banned Pending Investigation,"Lin, Grace",Dim Sum for Everyone!
114,Florida,Duval County Public Schools,Administrator,1/1/2022,Banned Pending Investigation,"Engle, Margarita",A Dog Named Haku: A Holiday Story from Nepal
115,Florida,Duval County Public Schools,Administrator,1/1/2022,Banned Pending Investigation,"Fritz, Jean",The Double Life of Pocahontas
116,Florida,Duval County Public Schools,Administrator,1/1/2022,Banned Pending Investigation,"Cosson, M. J.",A Dream Come True: Coming to America from Vietnam-1975
117,Florida,Duval County Public Schools,Administrator,1/1/2022,Banned Pending Investigation,"Monjo, F.N.",The Drinking Gourd: A Story of the Underground Railroad
118,Florida,Duval County Public Schools,Administrator,1/1/2022,Banned Pending Investigation,"Engle, Margarita",Drum Dream Girl: How One Girl's Courage Changed Music
119,Florida,Duval County Public Schools,Administrator,1/1/2022,Banned Pending Investigation,"Bulla, Clyde Robert",Eagle Feather
120,Florida,Duval County Public Schools,Administrator,1/1/2022,Banned Pending Investigation,"Bruchac, Joseph",Eagle Song
121,Florida,Duval County Public Schools,Administrator,1/1/2022,Banned Pending Investigation,"Millner, Denene",Early Sunday Morning
122,Florida,Duval County Public Schools,Administrator,1/1/2022,Banned Pending Investigation,"Luby, Brittany",Encounter
123,Florida,Duval County Public Schools,Administrator,1/1/2022,Banned Pending Investigation,"Clements, Andrew",Extra Credit
124,Florida,Duval County Public Schools,Administrator,1/1/2022,Banned Pending Investigation,"O'Leary, Sara",A Family Is a Family Is a Family
125,Florida,Duval County Public Schools,Administrator,1/1/2022,Banned Pending Investigation,"Jordan-Fenton, Christy",Fatty Legs: A True Story
126,Florida,Duval County Public Schools,Administrator,1/1/2022,Banned Pending Investigation,"Sehgal, Surishtha",Festival of Colors
127,Florida,Duval County Public Schools,Administrator,1/1/2022,Banned Pending Investigation,"Bruchac, Joseph",The First Strawberries
128,Florida,Duval County Public Schools,Administrator,1/1/2022,Banned Pending Investigation,"Nye, Naomi Shihab",The Flag of Childhood: Poems From the Middle East
129,Florida,Duval County Public Schools,Administrator,1/1/2022,Banned Pending Investigation,"Lorenzi, Natalie Dias",Flying the Dragon
130,Florida,Duval County Public Schools,Administrator,1/1/2022,Banned Pending Investigation,"Williams, Karen Lynn","Four Feet, Two Sandals"
131,Florida,Duval County Public Schools,Administrator,1/1/2022,Banned Pending Investigation,"Cervantes, Angela","Gaby, Lost and Found"
132,Florida,Duval County Public Schools,Administrator,1/1/2022,Banned Pending Investigation,"Zia, Farhana",The Garden of My Imaan
133,Florida,Duval County Public Schools,Administrator,1/1/2022,Banned Pending Investigation,"Lyons, Kelly Starling",Going Down Home with Daddy
134,Florida,Duval County Public Schools,Administrator,1/1/2022,Banned Pending Investigation,"Marsden, Carolyn",The Gold-Threaded Dress
135,Florida,Duval County Public Schools,Administrator,1/1/2022,Banned Pending Investigation,"Polonsky, Ami",Gracefully Grayson
136,Florida,Duval County Public Schools,Administrator,1/1/2022,Banned Pending Investigation,"Birtha, Becky",Grandmama's Pride
137,Florida,Duval County Public Schools,Administrator,1/1/2022,Banned Pending Investigation,"Greenfield, Eloise",The Great Migration: Journey to the North
138,Florida,Duval County Public Schools,Administrator,1/1/2022,Banned Pending Investigation,"Turner, Pamela S.",Hachiko: The True Story of a Loyal Dog
139,Florida,Duval County Public Schools,Administrator,1/1/2022,Banned Pending Investigation,"Lord, Cynthia",A Handful of Stars
140,Florida,Duval County Public Schools,Administrator,1/1/2022,Banned Pending Investigation,"Tavares, Matt",Henry Aaron's Dream
141,Florida,Duval County Public Schools,Administrator,1/1/2022,Banned Pending Investigation,"Robinson, Sharon",The Hero Two Doors Down: Based on the True Story of Friendship between a Boy and a Baseball Legend
142,Florida,Duval County Public Schools,Administrator,1/1/2022,Banned Pending Investigation,"Robertson, Robbie",Hiawatha and the Peacemaker
143,Florida,Duval County Public Schools,Administrator,1/1/2022,Banned Pending Investigation,"Jennings, Jazz",I am Jazz
144,Florida,Duval County Public Schools,Administrator,1/1/2022,Banned Pending Investigation,"King, Dedie",I See the Sun in Afghanistan
145,Florida,Duval County Public Schools,Administrator,1/1/2022,Banned Pending Investigation,"Polacco, Patricia",In Our Mothers' House
146,Florida,Duval County Public Schools,Administrator,1/1/2022,Banned Pending Investigation,"McManis, Charlene Willing",Indian No More
147,Florida,Duval County Public Schools,Administrator,1/1/2022,Banned Pending Investigation,"Dumas, Firoozeh","It Ain't So Awful, Falafel"
148,Florida,Duval County Public Schools,Administrator,1/1/2022,Banned Pending Investigation,"Maclear, Kyo",It Began with a Page: How Gyo Fujikawa Drew the Way
149,Florida,Duval County Public Schools,Administrator,1/1/2022,Banned Pending Investigation,"Blake, Ashley Herring",Ivy Aberdeen's Letter to the World
150,Florida,Duval County Public Schools,Administrator,1/1/2022,Banned Pending Investigation,"Florence, Debbi Michiko","Jasmine Toguchi, Flamingo Keeper (Jasmine Toguchi Series)"
151,Florida,Duval County Public Schools,Administrator,1/1/2022,Banned Pending Investigation,"Medina, Juana",Juana & Lucas (Juana and Lucas Series)
152,Florida,Duval County Public Schools,Administrator,1/1/2022,Banned Pending Investigation,"Love, Jessica",Julián Is a Mermaid (Julián Series)
153,Florida,Duval County Public Schools,Administrator,1/1/2022,Banned Pending Investigation,"Martin Jr., Bill",Knots on a Counting Rope
154,Florida,Duval County Public Schools,Administrator,1/1/2022,Banned Pending Investigation,"Faruqi, Reem",Lailah's Lunchbox: A Ramadan Story
155,Florida,Duval County Public Schools,Administrator,1/1/2022,Banned Pending Investigation,"dePaola, Tomie",The Legend of the Bluebonnet (Legends Series)
156,Florida,Duval County Public Schools,Administrator,1/1/2022,Banned Pending Investigation,"Connors, Kathleen",The Life of Rosa Parks (Famous Lives Series)
157,Florida,Duval County Public Schools,Administrator,1/1/2022,Banned Pending Investigation,"Laird, Elizabeth",A Little Piece of Ground
158,Florida,Duval County Public Schools,Administrator,1/1/2022,Banned Pending Investigation,"Lorenzi, Natalie Dias",A Long Pitch Home
159,Florida,Duval County Public Schools,Administrator,1/1/2022,Banned Pending Investigation,"Rosenblatt, Darcey",Lost Boys
160,Florida,Duval County Public Schools,Administrator,1/1/2022,Banned Pending Investigation,"Behar, Ruth",Lucky Broken Girl
161,Florida,Duval County Public Schools,Administrator,1/1/2022,Banned Pending Investigation,"Grimes, Nikki",Make Way for Dyamonde Daniel (Dyamonde Daniel Series)
162,Florida,Duval County Public Schools,Administrator,1/1/2022,Banned Pending Investigation,"Corey, Shana",Malala: A Hero for All (Step into Reading Series)
163,Florida,Duval County Public Schools,Administrator,1/1/2022,Banned Pending Investigation,"Brown, Monica",Marisol McDonald Doesn't Match (Marisol McDonald Series)
164,Florida,Duval County Public Schools,Administrator,1/1/2022,Banned Pending Investigation,"Duncan, Alice Faye","Memphis, Martin, and the Mountaintop: The Sanitation Strike of 1968"
165,Florida,Duval County Public Schools,Administrator,1/1/2022,Banned Pending Investigation,"Curtis, Christopher Paul",The Mighty Miss Malone
166,Florida,Duval County Public Schools,Administrator,1/1/2022,Banned Pending Investigation,"Levy, Dana Alison",The Misadventures of the Family Fletcher (Family Fletcher Series)
167,Florida,Duval County Public Schools,Administrator,1/1/2022,Banned Pending Investigation,WGBH Kids,Molly of Denali: Berry Itchy Day
168,Florida,Duval County Public Schools,Administrator,1/1/2022,Banned Pending Investigation,"Salazar, Aida",The Moon Within
169,Florida,Duval County Public Schools,Administrator,1/1/2022,Banned Pending Investigation,"Bildner, Phil",Most Valuable Players (Rip and Red Series)
170,Florida,Duval County Public Schools,Administrator,1/1/2022,Banned Pending Investigation,"Cohen, Caron Lee",The Mud Pony
171,Florida,Duval County Public Schools,Administrator,1/1/2022,Banned Pending Investigation,"Rao, Sandhya",My Mother's Sari
172,Florida,Duval County Public Schools,Administrator,1/1/2022,Banned Pending Investigation,"Ada, Alma Flor",My Name Is María Isabel
173,Florida,Duval County Public Schools,Administrator,1/1/2022,Banned Pending Investigation,"Woods, Brenda",My Name Is Sally Little Song
174,Florida,Duval County Public Schools,Administrator,1/1/2022,Banned Pending Investigation,"English, Karen",Nadia's Hands
175,Florida,Duval County Public Schools,Administrator,1/1/2022,Banned Pending Investigation,"Choi, Yangsook",The Name Jar
176,Florida,Duval County Public Schools,Administrator,1/1/2022,Banned Pending Investigation,"Hiranandani, Veera",The Night Diary
177,Florida,Duval County Public Schools,Administrator,1/1/2022,Banned Pending Investigation,"Morales, Yuyi",Niño Wrestles the World (Niño Series)
178,Florida,Duval County Public Schools,Administrator,1/1/2022,Banned Pending Investigation,"Warga, Jasmine",Other Words for Home
179,Florida,Duval County Public Schools,Administrator,1/1/2022,Banned Pending Investigation,"Pearlman, Robb",Pink Is for Boys
180,Florida,Duval County Public Schools,Administrator,1/1/2022,Banned Pending Investigation,"Rickards, Lynne",Pink!
181,Florida,Duval County Public Schools,Administrator,1/1/2022,Banned Pending Investigation,"Sanders, Rob",Pride: The Story of Harvey Milk and the Rainbow Flag
182,Florida,Duval County Public Schools,Administrator,1/1/2022,Banned Pending Investigation,"Tonatiuh, Duncan",The Princess and the Warrior: A Tale of Two Volcanoes
183,Florida,Duval County Public Schools,Administrator,1/1/2022,Banned Pending Investigation,"Muhammad, Ibtihaj",Proud: Living My American Dream (Young Readers Edition)
184,Florida,Duval County Public Schools,Administrator,1/1/2022,Banned Pending Investigation,"Steptoe, Javaka",Radiant Child: The Story of Young Artist Jean-Michel Basquiat
185,Florida,Duval County Public Schools,Administrator,1/1/2022,Banned Pending Investigation,"Winter, Jonah",Roberto Clemente: Pride of the Pittsburgh Pirates
186,Florida,Duval County Public Schools,Administrator,1/1/2022,Banned Pending Investigation,"Coerr, Eleanor",Sadako
187,Florida,Duval County Public Schools,Administrator,1/1/2022,Banned Pending Investigation,"Taylor, Simon",Sally and The Magical Sneeze
188,Florida,Duval County Public Schools,Administrator,1/1/2022,Banned Pending Investigation,"Chinn, Karen",Sam and the Lucky Money
189,Florida,Duval County Public Schools,Administrator,1/1/2022,Banned Pending Investigation,"Gabriel, Dani",Sam!
190,Florida,Duval County Public Schools,Administrator,1/1/2022,Banned Pending Investigation,"Johnson, R. Kikuo",The Shark King
191,Florida,Duval County Public Schools,Administrator,1/1/2022,Banned Pending Investigation,"Lyons, Kelly Starling","Sing a Song: How ""Lift Every Voice and Sing"" Inspired Generations"
192,Florida,Duval County Public Schools,Administrator,1/1/2022,Banned Pending Investigation,"Javaherbin, Mina",Soccer Star
193,Florida,Duval County Public Schools,Administrator,1/1/2022,Banned Pending Investigation,"Tonatiuh, Duncan",Soldier for Equality: José de la Luz Sáenz and the Great War
194,Florida,Duval County Public Schools,Administrator,1/1/2022,Banned Pending Investigation,"Krull, Kathleen",Sonia Sotomayor (Women Who Broke the Rules Series)
195,Florida,Duval County Public Schools,Administrator,1/1/2022,Banned Pending Investigation,"Goldsaito, Katrina",The Sound of Silence
196,Florida,Duval County Public Schools,Administrator,1/1/2022,Banned Pending Investigation,"Lin, Grace",Starry River of the Sky
197,Florida,Duval County Public Schools,Administrator,1/1/2022,Banned Pending Investigation,"Schiffer, Miriam B.",Stella Brings the Family
198,Florida,Duval County Public Schools,Administrator,1/1/2022,Banned Pending Investigation,"Pitman, Gayle E.",The Stonewall Riots: Coming Out in the Street
199,Florida,Duval County Public Schools,Administrator,1/1/2022,Banned Pending Investigation,"Sanders, Rob",Stonewall: A Building. An Uprising. A Revolution.
200,Florida,Duval County Public Schools,Administrator,1/1/2022,Banned Pending Investigation,"Uhlberg, Myron",A Storm Called Katrina
201,Florida,Duval County Public Schools,Administrator,1/1/2022,Banned Pending Investigation,"Johnson, Angela",A Sweet Smell of Roses
202,Florida,Duval County Public Schools,Administrator,1/1/2022,Banned Pending Investigation,"Miller, Natalie Davis",Swimming with Faith: The Missy Franklin Story (ZonderKidz Biography Series)
203,Florida,Duval County Public Schools,Administrator,1/1/2022,Banned Pending Investigation,"Cohen, Barbara","Thank You, Jackie Robinson"
204,Florida,Duval County Public Schools,Administrator,1/1/2022,Banned Pending Investigation,"Stead, Rebecca",The List of Things That Will Not Change
205,Florida,Duval County Public Schools,Administrator,1/1/2022,Banned Pending Investigation,"Sloan, Holly Goldberg",To Night Owl from Dogfish
206,Florida,Duval County Public Schools,Administrator,1/1/2022,Banned Pending Investigation,"Bruchac, Joseph",Thirteen Moons on Turtle's Back: A Native American Year of Moons
207,Florida,Duval County Public Schools,Administrator,1/1/2022,Banned Pending Investigation,"Bermudez, Cyn",This Place Is Not My Home
208,Florida,Duval County Public Schools,Administrator,1/1/2022,Banned Pending Investigation,"Alexie, Sherman",Thunder Boy Jr.
209,Florida,Duval County Public Schools,Administrator,1/1/2022,Banned Pending Investigation,"Nolen, Jerdine",Thunder Rose
210,Florida,Duval County Public Schools,Administrator,1/1/2022,Banned Pending Investigation,"Addasi, Maha",Time to Pray
211,Florida,Duval County Public Schools,Administrator,1/1/2022,Banned Pending Investigation,"Vanasse, Deb",Totem Tale
212,Florida,Duval County Public Schools,Administrator,1/1/2022,Banned Pending Investigation,"Nye, Naomi Shihab",The Turtle of Oman (The Turtle of Oman Series)
213,Florida,Duval County Public Schools,Administrator,1/1/2022,Banned Pending Investigation,"Bruchac, Joseph",Two Roads
214,Florida,Duval County Public Schools,Administrator,1/1/2022,Banned Pending Investigation,"Coulson, Art",Unstoppable: How Jim Thorpe and the Carlisle Indian School Football Team Defeated Army (Encounter: Narrative Nonfiction Picture Books Series)
